"","Edad","Genero","Ingreso","Tiempo_meses","Otros_ingreso","Casado","Hijos","Carro","Cta_Ahorros","Cta_Corriente","Prestamo"
"400","34-56","M","25000-45000",24,377.14,"SI",0,"SI","SI","NO","SI"
"401","Menor 34","F","Menor a 25000",27,363.49,"NO",0,"NO","NO","SI","SI"
"402","Menor 34","M","Menor a 25000",30,329.61,"NO",3,"SI","NO","NO","SI"
"403","34-56","M","25000-45000",37,424.56,"SI",0,"SI","NO","SI","NO"
"404","34-56","M","Menor a 25000",29,391.31,"NO",0,"NO","NO","NO","SI"
"405","Menor 34","F","Menor a 25000",20,389.45,"SI",3,"NO","SI","SI","NO"
"406","34-56","M","25000-45000",29,398.65,"SI",3,"SI","SI","SI","NO"
"407","Mayor de 56","M","Mayor a 45000",33,390.44,"NO",1,"NO","SI","SI","NO"
"408","Menor 34","M","Menor a 25000",29,381.13,"NO",0,"NO","SI","SI","NO"
"409","34-56","F","Menor a 25000",41,415.16,"SI",1,"SI","NO","NO","NO"
"410","Menor 34","M","Menor a 25000",35,390.45,"SI",2,"NO","SI","NO","NO"
"411","Menor 34","F","Menor a 25000",19,380.58,"NO",1,"SI","NO","SI","SI"
"412","Menor 34","M","Menor a 25000",26,379.78,"NO",0,"SI","SI","SI","SI"
"413","Mayor de 56","F","Mayor a 45000",27,359.44,"NO",2,"SI","SI","SI","NO"
"414","Menor 34","F","Menor a 25000",18,400.6,"SI",0,"SI","NO","SI","NO"
"415","Mayor de 56","F","Mayor a 45000",27,358.35,"SI",0,"NO","SI","SI","NO"
"416","Menor 34","M","Menor a 25000",31,338.79,"SI",0,"NO","SI","SI","SI"
"417","34-56","M","Menor a 25000",33,356.19,"NO",1,"NO","SI","NO","SI"
"418","Menor 34","M","Menor a 25000",21,393.71,"SI",1,"SI","NO","NO","NO"
"419","Menor 34","F","25000-45000",36,433.11,"SI",2,"SI","SI","NO","NO"
"420","Mayor de 56","M","Menor a 25000",31,361.11,"SI",0,"NO","SI","SI","SI"
"421","Mayor de 56","M","Mayor a 45000",27,386.64,"SI",0,"SI","SI","SI","SI"
"422","34-56","M","25000-45000",29,395.86,"NO",1,"NO","SI","NO","NO"
"423","Menor 34","M","Menor a 25000",38,364.15,"SI",1,"SI","NO","SI","NO"
"424","Mayor de 56","F","Mayor a 45000",29,359.21,"SI",0,"SI","SI","SI","NO"
"425","Menor 34","M","Menor a 25000",31,378.12,"NO",1,"SI","NO","SI","NO"
"426","34-56","F","25000-45000",32,437.4,"SI",0,"NO","SI","SI","NO"
"427","Mayor de 56","F","25000-45000",29,361.62,"SI",3,"NO","SI","NO","NO"
"428","Mayor de 56","F","25000-45000",29,368.53,"SI",2,"SI","NO","NO","NO"
"429","Menor 34","F","Menor a 25000",26,376.46,"SI",1,"SI","NO","SI","SI"
"430","34-56","M","25000-45000",22,404.69,"NO",2,"NO","SI","SI","SI"
"431","34-56","M","25000-45000",43,337.81,"SI",0,"NO","SI","NO","SI"
"432","Mayor de 56","F","Mayor a 45000",26,398.57,"SI",1,"SI","SI","SI","NO"
"433","34-56","M","Menor a 25000",27,379.33,"NO",0,"SI","SI","SI","SI"
"434","34-56","F","25000-45000",25,369.74,"SI",0,"NO","NO","SI","SI"
"435","34-56","M","Menor a 25000",33,359.07,"SI",0,"SI","SI","NO","NO"
"436","Menor 34","M","Menor a 25000",24,384.79,"NO",2,"SI","SI","SI","SI"
"437","34-56","M","Menor a 25000",21,378.84,"SI",0,"SI","NO","NO","SI"
"438","Mayor de 56","F","25000-45000",37,378.85,"NO",1,"SI","SI","NO","SI"
"439","Menor 34","F","Menor a 25000",36,374.46,"SI",1,"NO","NO","SI","NO"
"440","Menor 34","M","Menor a 25000",16,345.24,"SI",1,"SI","NO","SI","NO"
"441","34-56","M","25000-45000",33,375.01,"SI",1,"NO","SI","NO","SI"
"442","34-56","M","Mayor a 45000",24,390.2,"SI",0,"SI","SI","SI","NO"
"443","34-56","F","25000-45000",27,400.2,"SI",0,"SI","SI","SI","NO"
"444","34-56","M","25000-45000",29,382.91,"NO",0,"SI","NO","SI","SI"
"445","Menor 34","F","Menor a 25000",29,364.44,"SI",0,"NO","SI","SI","NO"
"446","34-56","M","25000-45000",23,367.3,"SI",0,"SI","SI","SI","NO"
"447","Mayor de 56","F","25000-45000",19,385.77,"SI",0,"NO","SI","SI","NO"
"448","34-56","F","25000-45000",39,327.41,"SI",2,"NO","NO","SI","NO"
"449","Mayor de 56","M","Mayor a 45000",41,415.27,"SI",3,"SI","SI","NO","NO"
"450","34-56","F","25000-45000",26,343.34,"NO",0,"SI","SI","SI","NO"
"451","34-56","M","25000-45000",30,368.1,"SI",3,"SI","NO","NO","NO"
"452","34-56","M","25000-45000",21,354.94,"NO",0,"SI","SI","NO","SI"
"453","Mayor de 56","F","25000-45000",30,373.15,"NO",0,"NO","NO","SI","NO"
"454","Mayor de 56","F","Mayor a 45000",26,376.46,"NO",0,"SI","SI","SI","SI"
"455","Menor 34","M","Menor a 25000",36,377.04,"NO",0,"NO","SI","SI","SI"
"456","Menor 34","F","Menor a 25000",26,354.88,"SI",0,"SI","SI","SI","NO"
"457","Menor 34","F","Menor a 25000",42,391.35,"SI",0,"SI","SI","SI","SI"
"458","Mayor de 56","F","Mayor a 45000",40,362.7,"SI",0,"NO","SI","SI","NO"
"459","Menor 34","M","Menor a 25000",21,387.56,"NO",1,"NO","SI","SI","NO"
"460","Mayor de 56","M","Mayor a 45000",35,373.8,"SI",1,"NO","SI","SI","NO"
"461","34-56","M","Menor a 25000",23,371.85,"SI",0,"SI","NO","SI","SI"
"462","Mayor de 56","F","25000-45000",30,410.14,"SI",0,"SI","SI","NO","SI"
"463","Menor 34","F","Menor a 25000",27,374.95,"SI",0,"SI","NO","SI","SI"
"464","Menor 34","F","Menor a 25000",27,338.76,"SI",2,"SI","NO","SI","NO"
"465","Menor 34","M","Menor a 25000",16,385.74,"NO",0,"SI","SI","SI","NO"
"466","Mayor de 56","F","25000-45000",44,401.39,"SI",2,"SI","SI","SI","SI"
"467","34-56","M","Menor a 25000",26,398.88,"SI",0,"NO","NO","SI","NO"
"468","Menor 34","F","Menor a 25000",29,356.08,"NO",3,"NO","SI","SI","NO"
"469","34-56","M","Menor a 25000",30,353.9,"SI",0,"NO","NO","SI","NO"
"470","Mayor de 56","M","25000-45000",15,426.68,"NO",3,"SI","SI","SI","NO"
"471","Mayor de 56","F","25000-45000",28,311.77,"SI",0,"NO","SI","SI","SI"
"472","Mayor de 56","F","25000-45000",25,386.59,"SI",0,"SI","SI","SI","NO"
"473","Mayor de 56","M","Menor a 25000",28,387.19,"SI",2,"SI","SI","NO","NO"
"474","34-56","F","25000-45000",33,410.27,"NO",0,"NO","SI","SI","NO"
"475","Menor 34","F","Menor a 25000",23,377.15,"NO",1,"SI","SI","SI","SI"
"476","Menor 34","F","Menor a 25000",38,359.57,"SI",2,"NO","SI","SI","SI"
"477","34-56","M","25000-45000",25,360.44,"NO",1,"NO","NO","SI","NO"
"478","34-56","M","25000-45000",25,436.71,"SI",0,"NO","SI","SI","SI"
"479","34-56","M","Menor a 25000",28,423.89,"SI",2,"NO","SI","SI","SI"
"480","34-56","M","25000-45000",27,387.19,"NO",1,"SI","SI","SI","NO"
"481","Menor 34","M","Menor a 25000",27,355.75,"SI",2,"NO","NO","SI","SI"
"482","34-56","M","Mayor a 45000",24,402.82,"NO",2,"SI","SI","SI","NO"
"483","34-56","M","25000-45000",23,410.47,"NO",0,"NO","SI","SI","SI"
"484","Menor 34","M","Menor a 25000",32,359.01,"SI",0,"SI","SI","NO","NO"
"485","Menor 34","F","Menor a 25000",35,372.63,"SI",1,"SI","SI","SI","NO"
"486","Mayor de 56","F","Mayor a 45000",29,418.19,"SI",0,"SI","SI","SI","SI"
"487","34-56","F","Menor a 25000",23,345.29,"SI",0,"NO","SI","NO","SI"
"488","Menor 34","M","Menor a 25000",29,373.39,"SI",1,"NO","NO","SI","NO"
"489","Menor 34","F","Menor a 25000",36,360.63,"SI",3,"NO","SI","NO","NO"
"490","Menor 34","M","Menor a 25000",31,414.22,"SI",2,"NO","SI","NO","NO"
"491","Mayor de 56","F","25000-45000",31,377.97,"SI",1,"SI","SI","NO","SI"
"492","34-56","F","Menor a 25000",41,432.42,"NO",1,"SI","SI","SI","NO"
"493","Mayor de 56","F","25000-45000",25,353.37,"SI",0,"SI","SI","NO","SI"
"494","Mayor de 56","M","25000-45000",31,371.55,"NO",0,"NO","SI","SI","NO"
"495","34-56","F","25000-45000",28,386.56,"SI",3,"NO","SI","SI","NO"
"496","34-56","M","25000-45000",22,384.18,"SI",0,"NO","NO","NO","SI"
"497","34-56","M","25000-45000",25,430.93,"NO",2,"SI","SI","SI","SI"
"498","Mayor de 56","M","Mayor a 45000",38,373.7,"NO",0,"NO","SI","SI","NO"
"499","Mayor de 56","F","Mayor a 45000",32,425.41,"NO",0,"NO","SI","SI","SI"
"500","34-56","F","Menor a 25000",30,407.03,"SI",0,"SI","NO","SI","NO"
"501","34-56","F","25000-45000",28,391.76,"SI",3,"SI","SI","NO","NO"
"502","Mayor de 56","F","25000-45000",24,372.62,"NO",1,"SI","NO","SI","NO"
"503","Menor 34","F","25000-45000",26,361.96,"SI",0,"SI","NO","NO","NO"
"504","Menor 34","F","Menor a 25000",35,416.98,"NO",0,"SI","SI","SI","SI"
"505","Mayor de 56","F","Mayor a 45000",28,359.49,"SI",1,"SI","SI","SI","NO"
"506","34-56","F","25000-45000",32,378.13,"SI",0,"SI","SI","SI","NO"
"507","Mayor de 56","F","Menor a 25000",21,372.68,"SI",0,"NO","NO","NO","SI"
"508","Menor 34","F","Menor a 25000",23,344.69,"NO",0,"SI","SI","SI","NO"
"509","Mayor de 56","M","Mayor a 45000",33,380.21,"NO",2,"NO","SI","SI","SI"
"510","Menor 34","F","Menor a 25000",33,396.86,"SI",2,"SI","SI","SI","NO"
"511","Menor 34","F","Menor a 25000",28,403.7,"SI",0,"NO","SI","NO","NO"
"512","34-56","M","Menor a 25000",33,380.21,"SI",3,"NO","SI","SI","NO"
"513","Mayor de 56","F","Mayor a 45000",22,354.53,"SI",0,"SI","SI","SI","SI"
"514","Menor 34","F","Menor a 25000",35,377.32,"NO",3,"NO","SI","SI","NO"
"515","34-56","M","25000-45000",35,375.73,"NO",0,"SI","SI","NO","NO"
"516","34-56","F","Menor a 25000",26,373.59,"SI",1,"NO","SI","SI","NO"
"517","34-56","F","Menor a 25000",23,392.57,"NO",0,"NO","SI","NO","NO"
"518","Mayor de 56","M","25000-45000",32,351.98,"SI",1,"NO","SI","NO","SI"
"519","Menor 34","F","Menor a 25000",31,390.07,"NO",3,"NO","NO","SI","NO"
"520","Mayor de 56","F","25000-45000",37,389.97,"SI",3,"SI","SI","SI","SI"
"521","34-56","F","Menor a 25000",35,352.95,"SI",2,"SI","NO","SI","NO"
"522","34-56","F","Menor a 25000",40,352.65,"SI",2,"SI","SI","SI","NO"
"523","Menor 34","M","Menor a 25000",38,387.25,"NO",3,"NO","SI","SI","SI"
"524","Menor 34","F","Menor a 25000",29,401.42,"SI",0,"SI","SI","NO","SI"
"525","34-56","M","Menor a 25000",26,399.59,"SI",0,"SI","SI","SI","SI"
"526","34-56","F","Menor a 25000",31,377.27,"SI",1,"NO","NO","SI","NO"
"527","Menor 34","M","Menor a 25000",36,368.79,"NO",2,"NO","SI","NO","SI"
"528","Menor 34","F","Menor a 25000",29,372.33,"NO",1,"NO","SI","SI","SI"
"529","Menor 34","F","25000-45000",36,395.38,"SI",2,"NO","NO","SI","NO"
"530","Mayor de 56","M","25000-45000",25,354.26,"SI",1,"SI","SI","SI","NO"
"531","Mayor de 56","M","Mayor a 45000",23,423.78,"SI",1,"NO","SI","SI","NO"
"532","34-56","F","25000-45000",34,369.35,"NO",1,"SI","NO","NO","NO"
"533","Mayor de 56","M","25000-45000",27,364.63,"NO",1,"NO","SI","SI","NO"
"534","Mayor de 56","M","25000-45000",27,374.13,"SI",0,"SI","NO","SI","SI"
"535","Menor 34","F","Menor a 25000",31,368.03,"NO",1,"SI","SI","SI","SI"
"536","Menor 34","M","Menor a 25000",35,392.37,"SI",0,"NO","NO","SI","NO"
"537","Mayor de 56","F","25000-45000",29,384.09,"NO",1,"NO","SI","SI","NO"
"538","Mayor de 56","F","Mayor a 45000",35,383.89,"NO",2,"NO","SI","SI","NO"
"539","34-56","F","25000-45000",28,371.73,"SI",0,"NO","SI","SI","NO"
"540","Menor 34","M","Menor a 25000",30,337.47,"SI",0,"NO","SI","SI","SI"
"541","34-56","F","Menor a 25000",26,395.3,"SI",1,"SI","SI","NO","SI"
"542","34-56","M","25000-45000",35,332.82,"SI",2,"NO","SI","SI","NO"
"543","Menor 34","M","Menor a 25000",37,351.72,"SI",2,"SI","SI","SI","NO"
"544","Mayor de 56","M","Mayor a 45000",30,352.6,"SI",1,"SI","SI","NO","SI"
"545","34-56","M","Menor a 25000",38,400.15,"SI",1,"SI","SI","SI","NO"
"546","34-56","M","25000-45000",30,381.38,"NO",0,"NO","NO","SI","SI"
"547","Menor 34","F","Menor a 25000",29,385.62,"NO",0,"SI","NO","NO","SI"
"548","Menor 34","M","Menor a 25000",36,344.88,"SI",2,"SI","SI","SI","NO"
"549","34-56","M","Menor a 25000",35,385.35,"SI",1,"SI","SI","SI","NO"
"550","Mayor de 56","F","Mayor a 45000",28,378.36,"SI",1,"SI","SI","SI","SI"
"551","Menor 34","F","Menor a 25000",31,345.67,"SI",1,"SI","NO","SI","NO"
"552","Mayor de 56","M","25000-45000",31,377.11,"SI",3,"NO","NO","NO","NO"
"553","34-56","M","25000-45000",34,351.85,"SI",2,"SI","SI","SI","NO"
"554","34-56","F","25000-45000",33,345.08,"SI",0,"SI","NO","NO","SI"
"555","Mayor de 56","F","25000-45000",31,401.07,"SI",3,"SI","SI","SI","NO"
"556","Menor 34","F","Menor a 25000",24,410.86,"SI",2,"SI","SI","SI","NO"
"557","34-56","F","Menor a 25000",31,378.35,"SI",1,"SI","SI","SI","SI"
"558","34-56","M","25000-45000",28,406.66,"SI",0,"NO","NO","SI","NO"
"559","34-56","F","25000-45000",27,395.11,"SI",0,"NO","SI","SI","NO"
"560","Mayor de 56","F","25000-45000",36,368.85,"SI",0,"NO","NO","SI","SI"
"561","34-56","M","Menor a 25000",29,384.94,"NO",1,"NO","SI","SI","NO"
"562","Menor 34","F","Menor a 25000",35,349.22,"NO",0,"NO","NO","SI","SI"
"563","Mayor de 56","F","Mayor a 45000",36,406.25,"SI",0,"NO","SI","SI","NO"
"564","Menor 34","F","Menor a 25000",26,383.92,"NO",1,"NO","NO","SI","SI"
"565","34-56","M","Menor a 25000",37,363.86,"SI",0,"SI","NO","SI","SI"
"566","Menor 34","M","25000-45000",25,363.22,"SI",0,"SI","SI","NO","NO"
"567","34-56","M","Menor a 25000",32,406.89,"SI",0,"NO","NO","SI","SI"
"568","Menor 34","F","Menor a 25000",38,366.24,"SI",2,"SI","SI","SI","NO"
"569","34-56","F","25000-45000",32,393.97,"SI",0,"SI","SI","SI","NO"
"570","34-56","M","Menor a 25000",30,370.12,"NO",1,"SI","SI","SI","SI"
"571","34-56","F","25000-45000",32,348.94,"NO",3,"SI","NO","SI","NO"
"572","34-56","M","25000-45000",29,364.45,"SI",0,"NO","NO","NO","NO"
"573","Menor 34","F","25000-45000",30,390.05,"NO",2,"NO","SI","SI","NO"
"574","34-56","M","Menor a 25000",25,400.78,"SI",2,"SI","SI","SI","NO"
"575","34-56","F","25000-45000",26,359.16,"SI",0,"SI","SI","SI","NO"
"576","34-56","M","25000-45000",34,396.29,"SI",0,"NO","SI","SI","SI"
"577","Menor 34","F","Menor a 25000",39,388.56,"SI",1,"SI","SI","SI","NO"
"578","Mayor de 56","M","Mayor a 45000",30,385.09,"SI",0,"SI","SI","NO","NO"
"579","Menor 34","M","Menor a 25000",24,412.9,"NO",0,"NO","SI","SI","SI"
"580","34-56","F","25000-45000",28,406.23,"SI",0,"SI","NO","NO","NO"
"581","Mayor de 56","M","Mayor a 45000",31,379.08,"SI",2,"SI","SI","NO","SI"
"582","Menor 34","M","Menor a 25000",29,419.36,"SI",2,"SI","NO","SI","SI"
"583","34-56","F","Menor a 25000",27,392.01,"NO",3,"NO","SI","NO","NO"
"584","34-56","F","25000-45000",40,346.91,"NO",2,"SI","SI","SI","NO"
"585","Menor 34","M","Menor a 25000",34,382.53,"SI",1,"NO","SI","SI","SI"
"586","Menor 34","M","Menor a 25000",31,420.56,"NO",3,"SI","SI","SI","NO"
"587","Menor 34","M","Menor a 25000",28,391.36,"SI",1,"NO","NO","SI","NO"
"588","34-56","F","25000-45000",28,383,"NO",1,"SI","SI","NO","NO"
"589","Mayor de 56","M","Mayor a 45000",30,383.31,"SI",0,"NO","SI","SI","NO"
"590","Menor 34","M","Menor a 25000",31,401.43,"SI",1,"SI","SI","SI","NO"
"591","Menor 34","M","Menor a 25000",25,370.21,"SI",0,"NO","NO","NO","NO"
"592","34-56","F","25000-45000",23,333.67,"NO",2,"NO","SI","SI","SI"
"593","34-56","M","Menor a 25000",29,413.62,"SI",0,"NO","SI","SI","NO"
"594","Mayor de 56","M","Mayor a 45000",30,370.79,"SI",2,"NO","SI","SI","NO"
"595","Mayor de 56","F","25000-45000",22,389.28,"SI",3,"SI","SI","SI","SI"
"596","Mayor de 56","F","Mayor a 45000",24,400.24,"NO",2,"SI","SI","SI","SI"
"597","Menor 34","F","Menor a 25000",30,354.41,"SI",0,"SI","SI","SI","NO"
"598","Menor 34","F","Menor a 25000",25,390.24,"SI",0,"SI","SI","NO","NO"
"599","Menor 34","M","Menor a 25000",32,409.83,"SI",0,"NO","SI","NO","SI"
"600","34-56","M","25000-45000",34,416.04,"NO",0,"SI","NO","SI","SI"
