Id;Edad;Educacion;empleo_años;Ingresos;debito;otra_tarjeta;ratio_tarjeta
1;41;2;6;19;0.124;1.073;6.3
2;47;1;26;100;4.582;8.218;12.8
3;33;2;10;57;6.111;5.802;20.9
4;29;2;4;19;0.681;0.516;6.3
5;47;1;31;253;9.308;8.908;7.2
6;40;1;23;81;0.998;7.831;10.9
7;38;2;4;56;0.442;0.454;1.6
8;42;3;0;64;0.279;3.945;6.6
9;26;1;5;18;0.575;2.215;15.5
10;47;3;23;115;0.653;3.947;4
11;44;3;8;88;0.285;5.083;6.1
12;34;2;9;40;0.374;0.266;1.6
13;24;1;7;18;0.526;0.643;6.5
14;46;1;6;30;1.415;3.865;17.6
15;28;3;2;20;0.233;1.647;9.4
16;24;1;1;16;0.185;1.287;9.2
17;29;1;1;17;0.132;0.293;2.5
18;43;4;1;26;1.519;1.237;10.6
19;44;1;18;61;2.806;3.782;10.8
20;36;1;16;32;0.544;2.944;10.9
21;29;2;6;25;0.585;0.465;4.2
22;36;3;10;43;0.961;4.629;13
23;28;3;6;47;5.574;3.732;19.8
24;45;1;19;77;2.303;4.165;8.4
25;37;4;10;123;3.022;18.257;17.3
26;43;1;9;66;2.341;3.467;8.8
27;24;1;4;21;0.099;0.447;2.6
28;37;1;19;38;2.591;2.539;13.5
29;38;2;13;59;0.408;1.008;2.4
30;34;2;9;45;1.118;3.427;10.1
31;40;3;18;100;1.485;1.015;2.5
32;42;2;12;55;2.533;5.717;15
33;23;2;0;42;1.019;0.619;3.9
34;40;3;5;28;1.263;1.537;10
35;28;1;12;45;1.854;1.611;7.7
36;33;2;5;37;1.029;2.079;8.4
37;35;3;5;37;0.581;1.417;5.4
38;37;1;0;18;1.584;0.738;12.9
39;22;1;1;18;0.27;0.522;4.4
40;39;3;16;126;1.405;7.163;6.8
41;20;1;4;14;0.201;1.157;9.7
42;48;3;17;113;3.376;10.184;12
43;28;2;5;34;3.099;4.993;23.8
44;37;5;9;177;0.888;9.555;5.9
45;48;1;3;27;1.403;4.348;21.3
46;45;3;9;84;1.276;9.728;13.1
47;22;1;4;14;0.225;2.225;17.5
48;30;1;4;21;0.229;0.506;3.5
49;28;1;3;19;0.261;0.518;4.1
50;29;2;10;61;0.798;2.984;6.2
51;47;1;22;81;1.506;2.949;5.5
52;36;1;11;33;1.266;9.459;32.5
53;24;1;3;19;1.358;3.278;24.4
54;56;1;19;66;0.847;1.331;3.3
55;29;3;5;70;3.176;10.754;19.9
56;34;1;2;25;0.573;2.577;12.6
57;32;1;1;20;0.315;0.645;4.8
58;27;3;2;26;0.722;0.838;6
59;40;1;9;64;0.79;3.434;6.6
60;50;1;11;36;0.835;0.893;4.8
61;39;1;17;60;2.45;5.77;13.7
62;34;1;18;34;2.1;3.136;15.4
63;36;1;18;67;5.245;2.259;11.2
64;44;2;18;74;4.522;5.394;13.4
65;24;2;4;20;0.324;0.416;3.7
66;31;1;8;44;1.721;1.799;8
67;34;1;16;79;1.735;1.425;4
68;26;1;4;27;2.472;0.363;10.5
69;38;1;3;23;0.832;2.549;14.7
70;24;1;3;14;0.838;1.416;16.1
71;30;3;8;61;0.55;1.158;2.8
72;40;4;5;75;0.885;0.54;1.9
73;30;2;12;98;2.935;4.121;7.2
74;25;2;5;42;3.366;3.144;15.5
75;29;1;9;33;0.694;0.89;4.8
76;33;1;5;18;0.985;1.337;12.9
77;43;1;8;45;0.677;0.808;3.3
78;35;2;1;21;0.37;1.289;7.9
79;41;2;21;145;3.237;14.453;12.2
80;46;2;18;55;0.419;2.001;4.4
81;33;1;12;68;1.366;5.978;10.8
82;30;3;0;65;3.9;15.405;29.7
83;40;3;18;157;3.326;7.036;6.6
84;38;1;1;42;0.891;2.931;9.1
85;49;2;11;51;0.543;7.107;15
86;26;1;0;15;0.386;0.424;5.4
87;22;4;0;25;1.491;1.559;12.2
88;29;2;2;16;0.433;1.247;10.5
89;28;2;8;31;1.492;1.05;8.2
90;23;4;0;32;0.818;5.07;18.4
91;37;2;11;75;0.633;1.992;3.5
92;35;2;5;33;0.103;0.821;2.8
93;31;1;1;21;0.277;0.248;2.5
94;29;1;1;20;0.569;3.151;18.6
95;34;3;7;27;0.125;0.469;2.2
96;47;2;7;49;0.254;0.187;0.9
97;37;1;5;27;0.419;2.119;9.4
98;38;1;10;34;0.036;0.372;1.2
99;32;2;5;28;2.594;1.55;14.8
100;22;3;0;20;0.219;0.721;4.7
101;30;1;7;33;1.165;7.217;25.4
102;38;4;13;126;7.613;9.649;13.7
103;36;1;20;60;1.056;2.184;5.4
104;44;1;5;48;1.97;2.35;9
105;27;2;4;22;1.086;1.818;13.2
106;47;1;19;50;3.176;11.874;30.1
107;41;1;7;32;0.072;0.856;2.9
108;25;1;8;27;1.019;2.869;14.4
109;33;2;10;54;0.12;1.5;3
110;42;3;13;82;1.315;1.391;3.3
111;36;1;14;53;1.888;1.133;5.7
112;25;4;0;32;2.14;3.492;17.6
113;30;1;10;39;2.056;1.649;9.5
114;24;1;0;16;1.009;1.551;16
115;32;1;7;23;0.861;1.393;9.8
116;39;2;9;32;1.43;0.682;6.6
117;30;1;4;18;0.227;1.699;10.7
118;33;1;16;46;2.4;1.326;8.1
119;32;2;12;63;5.55;5.916;18.2
120;33;1;7;26;0.543;1.017;6
121;29;2;6;21;0.369;2.046;11.5
122;28;2;5;37;1.124;1.947;8.3
123;33;4;9;32;0.496;1.264;5.5
124;39;2;16;53;0.694;1.267;3.7
125;32;1;10;42;1.54;2.282;9.1
126;46;1;9;72;0.828;2.772;5
127;32;2;3;47;0.429;0.464;1.9
128;28;2;5;25;0.339;0.386;2.9
129;26;1;2;21;1.023;3.135;19.8
130;27;1;0;16;0.183;0.089;1.7
131;35;1;16;36;0.179;1.045;3.4
132;35;1;16;57;1.143;4.842;10.5
133;31;2;6;25;2.332;0.543;11.5
134;32;3;5;23;0.326;0.709;4.5
135;29;1;9;25;1.07;2.405;13.9
136;35;4;4;29;1.844;1.346;11
137;48;2;21;86;0.146;0.886;1.2
138;24;1;4;19;1.185;0.905;11
139;44;1;12;31;0.358;2.649;9.7
140;40;2;5;35;1.584;4.156;16.4
141;36;2;13;41;2.918;3.806;16.4
142;23;2;0;21;0.455;1.372;8.7
143;26;2;8;40;0.444;4.276;11.8
144;30;1;8;23;0.762;1.998;12
145;34;1;12;68;7.817;9.251;25.1
146;28;3;2;30;1.522;4.448;19.9
147;37;1;18;58;2.868;3.106;10.3
148;46;3;3;43;3.042;2.634;13.2
149;24;2;1;42;0.838;1.556;5.7
150;25;2;6;26;0.07;1.1;4.5
151;33;1;14;37;0.199;0.763;2.6
152;46;1;7;41;0.585;9.009;23.4
153;38;3;4;31;1.332;1.551;9.3
154;47;1;3;21;0.068;3.166;15.4
155;34;2;9;65;2.108;1.922;6.2
156;35;1;16;37;4.213;2.151;17.2
157;39;1;22;113;0.987;1.951;2.6
158;44;1;24;101;2.992;2.664;5.6
159;28;2;1;24;1.338;2.766;17.1
160;31;3;9;59;3.11;5.504;14.6
161;24;1;1;20;0.325;0.495;4.1
162;36;3;13;39;2.801;4.687;19.2
163;35;2;14;82;0.468;0.188;0.8
164;31;1;11;47;2.864;2.259;10.9
165;28;2;6;22;0.65;1.88;11.5
166;36;4;8;32;0.025;0.487;1.6
167;31;3;6;54;0.402;1.11;2.8
168;30;1;11;27;0.074;0.169;0.9
169;26;1;10;24;0.311;0.337;2.7
170;48;4;3;45;0.975;3.435;9.8
171;39;2;16;89;5.002;7.725;14.3
172;31;1;7;20;0.111;2.349;12.3
173;31;3;9;28;0.122;0.606;2.6
174;27;3;3;45;0.292;4.658;11
175;31;1;13;27;0.238;1.112;5
176;53;1;0;27;2.754;5.049;28.9
177;40;1;15;55;0.856;2.169;5.5
178;26;1;7;22;0.209;0.913;5.1
179;29;2;5;36;3.491;0.973;12.4
180;52;1;19;89;0.397;3.786;4.7
181;39;2;2;46;4.004;3.356;16
182;33;2;13;40;0.181;2.699;7.2
183;24;1;7;21;0.52;0.803;6.3
184;47;1;29;129;20.561;12.076;25.3
185;41;3;2;15;1.961;1.984;26.3
186;26;2;6;45;6.049;5.651;26
187;48;1;3;24;0.764;0.916;7
188;37;1;13;24;0.602;1.534;8.9
189;37;1;20;41;0.899;4.39;12.9
190;46;4;7;73;0.556;0.247;1.1
191;30;1;8;27;3.744;1.737;20.3
192;47;1;15;30;2.212;5.138;24.5
193;37;3;16;75;0.022;0.053;0.1
194;37;2;0;31;0.118;0.161;0.9
195;40;2;15;73;1.033;1.449;3.4
196;35;3;5;30;1.526;1.654;10.6
197;21;2;0;16;0.15;0.938;6.8
198;52;1;24;64;3.93;2.47;10
199;47;3;16;221;15.792;23.104;17.6
200;41;3;0;26;0.099;0.343;1.7
201;47;1;27;113;2.381;8.015;9.2
202;38;2;0;21;0.612;0.354;4.6
203;22;3;1;25;1.977;1.473;13.8
204;39;1;8;21;0.276;0.564;4
205;45;1;8;27;0.416;0.286;2.6
206;51;1;10;44;4.96;0.848;13.2
207;33;2;10;26;0.031;0.775;3.1
208;43;1;25;242;1.636;4.656;2.6
209;40;1;22;95;0.633;2.787;3.6
210;27;4;2;23;0.32;0.991;5.7
211;31;1;11;25;0.141;2.134;9.1
212;34;1;10;48;0.264;2.184;5.1
213;37;1;9;57;1.357;1.778;5.5
214;44;4;18;78;0.565;0.215;1
215;42;1;3;24;0.667;1.877;10.6
216;25;1;3;16;1.011;1.837;17.8
217;39;2;7;68;1.017;7.823;13
218;26;4;1;64;7.754;7.158;23.3
219;36;1;19;45;0.92;4.525;12.1
220;48;1;15;60;0.321;0.939;2.1
221;21;2;0;21;0.488;2.137;12.5
222;40;3;17;116;2.561;4.399;6
223;31;2;9;30;0.602;1.138;5.8
224;23;4;0;23;0.468;1.073;6.7
225;31;1;6;21;0.729;1.014;8.3
226;31;1;7;23;0.225;0.902;4.9
227;50;3;18;102;5.782;8.6;14.1
228;29;1;1;31;0.156;2.324;8
229;37;3;5;29;1.405;5.729;24.6
230;46;1;16;52;3.032;3.676;12.9
231;39;1;9;35;0.233;1.517;5
232;34;1;14;28;1.138;3.622;17
233;27;1;11;56;4.637;4.827;16.9
234;23;1;6;15;1.375;0.53;12.7
235;41;1;24;83;6.589;5.031;14
236;29;1;1;18;0.03;0.168;1.1
237;44;1;19;40;0.344;4.016;10.9
238;24;2;0;15;0.321;2.094;16.1
239;32;3;9;51;2.686;9.044;23
240;23;2;3;34;0.262;1.234;4.4
241;31;1;4;28;0.291;2.873;11.3
242;36;1;15;39;0.686;0.562;3.2
243;25;1;3;31;0.881;1.63;8.1
244;26;1;10;32;0.126;1.378;4.7
245;43;1;4;26;0.751;1.095;7.1
246;47;1;29;169;0.349;3.369;2.2
247;43;1;10;69;0.411;4.005;6.4
248;37;1;18;54;4.593;1.941;12.1
249;35;4;10;45;1.04;2.785;8.5
250;28;4;1;26;0.377;2.847;12.4
251;28;1;8;30;0.613;1.547;7.2
252;26;3;2;37;0.205;5.049;14.2
253;39;1;10;31;0.185;1.303;4.8
254;34;2;3;21;1.402;3.449;23.1
255;51;3;16;82;2.605;1.003;4.4
256;28;2;3;41;5.897;4.394;25.1
257;39;1;20;39;0.774;2.424;8.2
258;23;1;3;19;0.279;1.317;8.4
259;23;1;3;13;0.046;0.357;3.1
260;21;1;4;26;1.421;0.893;8.9
261;40;1;3;23;0.409;1.178;6.9
262;26;4;1;92;6.506;5.454;13
263;32;2;12;54;3.196;4.58;14.4
264;29;3;3;50;0.259;0.941;2.4
265;43;1;25;64;0.951;9.737;16.7
266;55;1;3;40;0.563;2.637;8
267;30;1;12;40;1.249;1.551;7
268;38;3;15;63;5.091;3.351;13.4
269;40;1;2;28;0.185;1.803;7.1
270;43;1;12;38;0.129;1.239;3.6
271;35;2;1;24;0.591;2.409;12.5
272;24;1;8;24;0.382;0.818;5
273;35;1;11;40;0.572;0.588;2.9
274;39;2;18;47;1.565;2.007;7.6
275;41;2;5;25;0.393;2.157;10.2
276;28;1;2;17;0.199;0.226;2.5
277;24;2;2;28;1.787;3.057;17.3
278;40;3;3;55;1.751;7.324;16.5
279;29;1;8;27;0.402;2.244;9.8
280;26;2;4;28;0.226;2.434;9.5
281;27;1;5;26;0.13;0.182;1.2
282;50;1;30;150;13.553;35.197;32.5
283;41;1;15;120;2.659;0.821;2.9
284;26;1;0;14;0.256;1.214;10.5
285;48;1;22;100;3.704;5.396;9.1
286;35;2;1;24;0.417;1.455;7.8
287;35;1;15;77;5.501;2.661;10.6
288;23;1;7;31;0.338;1.708;6.6
289;39;2;20;101;0.341;1.073;1.4
290;38;1;21;58;4.584;4.986;16.5
291;30;1;4;33;0.5;0.886;4.2
292;44;2;8;43;0.555;1.595;5
293;33;1;0;23;0.077;0.13;0.9
294;34;1;15;39;4.373;5.26;24.7
295;27;2;6;34;0.238;1.258;4.4
296;30;1;1;22;1.139;1.171;10.5
297;27;2;1;20;0.377;1.683;10.3
298;29;1;9;30;0.155;2.305;8.2
299;25;4;1;34;0.133;2.757;8.5
300;41;1;23;91;0.573;11.894;13.7
301;42;2;11;73;2.869;2.095;6.8
302;38;3;12;64;0.895;2.817;5.8
303;23;1;5;17;0.302;1.041;7.9
304;33;1;2;24;1.041;1.263;9.6
305;31;1;2;22;1.739;1.869;16.4
306;37;2;6;62;1.186;4.084;8.5
307;40;1;10;45;2.013;6.447;18.8
308;31;1;3;16;3.065;2.103;32.3
309;35;2;3;40;1.803;5.077;17.2
310;38;1;6;41;0.266;3.383;8.9
311;30;2;8;56;0.333;3.251;6.4
312;30;1;1;17;0.746;1.124;11
313;44;1;2;22;1.092;1.02;9.6
314;29;2;3;15;0.147;0.243;2.6
315;39;1;19;45;0.916;0.749;3.7
316;26;1;0;17;0.142;0.708;5
317;36;1;5;27;0.724;1.166;7
318;31;2;0;27;1.089;2.367;12.8
319;38;2;12;40;0.898;1.142;5.1
320;38;1;0;23;0.898;0.965;8.1
321;41;3;13;91;2.316;20.616;25.2
322;41;2;2;30;0.113;1.897;6.7
323;45;3;5;94;3.612;6.258;10.5
324;24;1;4;23;0.242;0.885;4.9
325;22;1;4;16;0.084;0.108;1.2
326;34;1;13;56;0.864;2.552;6.1
327;25;1;0;18;0.514;2.888;18.9
328;29;2;6;18;0.45;0.468;5.1
329;35;2;13;105;1.418;0.577;1.9
330;39;1;19;48;1.93;4.358;13.1
331;34;1;17;59;1.808;2.912;8
332;44;2;21;113;3.192;11.724;13.2
333;23;2;0;21;0.776;1.618;11.4
334;46;1;6;31;1.986;1.796;12.2
335;41;4;9;47;0.437;1.913;5
336;52;1;9;24;0.802;3.806;19.2
337;23;1;1;17;0.012;0.26;1.6
338;48;1;28;70;4.334;4.066;12
339;35;1;10;24;1.084;4.028;21.3
340;53;2;16;44;1.333;1.131;5.6
341;39;3;11;39;2.561;2.47;12.9
342;37;1;20;56;0.543;0.521;1.9
343;34;1;12;32;0.239;0.625;2.7
344;49;2;2;20;0.379;3.001;16.9
345;39;1;23;75;3.133;11.042;18.9
346;42;2;7;41;0.941;0.945;4.6
347;28;2;1;16;0.574;1.778;14.7
348;27;3;5;75;2.207;2.518;6.3
349;24;1;2;21;0.025;0.101;0.6
350;34;1;5;33;0.778;1.631;7.3
351;47;1;31;136;14.231;17.185;23.1
352;26;4;1;27;0.312;0.471;2.9
353;35;1;17;42;0.093;1.167;3
354;31;1;6;33;0.146;1.24;4.2
355;29;1;13;27;0.069;0.552;2.3
356;44;1;9;33;0.546;1.17;5.2
357;40;2;13;102;6.227;13.051;18.9
358;36;4;1;30;0.324;3.126;11.5
359;32;3;6;22;0.385;1.089;6.7
360;21;1;1;18;0.159;2.955;17.3
361;42;4;15;186;2.404;4.292;3.6
362;37;2;4;20;0.174;4.166;21.7
363;24;1;6;21;0.108;0.984;5.2
364;24;4;0;29;0.59;1.324;6.6
365;46;3;4;73;2.223;1.719;5.4
366;28;1;2;16;0.871;1.561;15.2
367;41;1;16;68;0.448;3.224;5.4
368;46;5;15;126;0.477;3.429;3.1
369;51;2;22;120;4.14;4.98;7.6
370;36;1;17;54;0.727;1.649;4.4
371;25;1;1;20;0.472;0.868;6.7
372;27;2;3;33;1.633;2.723;13.2
373;43;1;23;72;1.182;4.29;7.6
374;53;1;6;27;0.594;1.134;6.4
375;32;1;4;16;0.894;3.666;28.5
376;36;1;0;25;2.778;2.147;19.7
377;29;2;9;30;3.646;2.864;21.7
378;35;1;18;42;0.205;2.903;7.4
379;32;2;0;18;0.296;0.748;5.8
380;25;2;1;14;0.233;1.153;9.9
381;42;1;2;30;1.472;1.438;9.7
382;25;1;9;20;0.105;0.595;3.5
383;20;3;0;17;0.044;0.347;2.3
384;50;1;4;23;0.141;2.734;12.5
385;46;2;22;144;3.325;12.659;11.1
386;33;1;15;32;0.491;1.941;7.6
387;43;1;19;79;0.782;5.143;7.5
388;30;2;4;21;0.492;3.351;18.3
389;34;1;3;36;0.624;1.068;4.7
390;37;1;3;25;0.276;0.649;3.7
391;38;1;4;19;1.245;1.339;13.6
392;32;2;11;57;5.44;8.126;23.8
393;39;1;15;39;0.14;0.562;1.8
394;31;1;7;41;2.996;9.591;30.7
395;25;1;5;22;0.403;1.995;10.9
396;31;2;12;44;1.867;2.357;9.6
397;29;2;0;23;1.242;0.598;8
398;45;2;21;132;2.558;1.402;3
399;39;1;4;38;1.178;1.292;6.5
400;34;1;4;23;0.617;0.671;5.6
401;24;2;3;24;2.173;2.411;19.1
402;30;1;10;19;0.336;0.5;4.4
403;30;1;0;19;0.624;2.53;16.6
404;27;1;0;18;0.583;1.721;12.8
405;31;1;5;25;1.177;2.348;14.1
406;47;3;9;52;2.54;7.912;20.1
407;47;2;4;33;1.195;1.148;7.1
408;45;2;15;51;1.551;7.68;18.1
409;31;4;7;97;1.827;3.993;6
410;45;1;7;29;0.739;1.03;6.1
411;29;1;12;40;1.632;1.048;6.7
412;36;2;12;60;1.721;3.019;7.9
413;29;2;10;44;3.703;4.261;18.1
414;39;1;2;22;1.916;3.166;23.1
415;22;2;0;35;0.781;2.369;9
416;46;1;14;35;1.349;2.221;10.2
417;38;1;21;65;2.533;8.387;16.8
418;37;1;1;24;1.801;1.823;15.1
419;42;1;12;51;2.412;8.502;21.4
420;36;1;4;25;0.144;0.856;4
421;34;1;18;53;0.84;4.725;10.5
422;38;3;12;63;5.715;4.365;16
423;27;1;11;21;0.915;1.479;11.4
424;35;2;9;30;0.65;1.63;7.6
425;48;1;10;70;10.679;9.061;28.2
